
2024/03/01 (15:18:32) | ===> btop++ v.1.3.2
2024/03/01 (15:18:32) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (15:30:50) | ===> btop++ v.1.3.2
2024/03/01 (15:30:50) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (15:44:36) | ===> btop++ v.1.3.2
2024/03/01 (15:44:36) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (15:58:49) | ===> btop++ v.1.3.2
2024/03/01 (15:58:49) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (15:59:22) | ===> btop++ v.1.3.2
2024/03/01 (15:59:22) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (16:17:57) | ===> btop++ v.1.3.2
2024/03/01 (16:17:57) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/16 (19:03:55) | ===> btop++ v.1.3.2
2024/03/16 (19:03:55) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/21 (10:20:10) | ===> btop++ v.1.3.2
2024/03/21 (10:20:10) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/22 (23:10:39) | ===> btop++ v.1.3.2
2024/03/22 (23:10:39) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/04/04 (10:41:45) | ===> btop++ v.1.3.2
2024/04/04 (10:41:45) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/04/04 (12:43:42) | ===> btop++ v.1.3.2
2024/04/04 (12:43:42) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/04/09 (16:08:48) | ===> btop++ v.1.3.2
2024/04/09 (16:08:48) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/04/10 (17:37:43) | ===> btop++ v.1.3.2
2024/04/10 (17:37:43) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.
